type,x,y,10:3c:59:76:a2:7e,12:bb:f3:82:05:5a,14:77:40:57:6d:8c,26:e9:74:dd:11:7a,32:8d:15:76:f1:7f,44:2a:8f:06:5f:5a,4a:01:ea:19:99:5a,4a:bf:6e:b9:aa:5c,4c:81:25:01:60:a8,52:d0:21:8b:42:a0,62:00:b7:d7:42:fa,62:fc:c6:87:6d:c1,88:1f:a1:3e:6e:02,98:25:4a:84:aa:d0,98:a9:42:cf:3e:68,98:ba:5f:a8:42:c0,98:ba:5f:a8:42:c2,b4:1c:30:12:00:a9,be:1e:a4:86:d7:bf,d0:27:87:61:6c:6e,d8:84:66:7f:45:98,d8:84:66:85:9c:b8,d8:84:66:85:9c:ba,d8:84:66:95:9b:a8,d8:84:66:c6:9e:00,d8:84:66:c6:9e:08,d8:84:66:c6:9e:50,d8:84:66:c6:9f:20,d8:84:66:c6:9f:28,d8:84:66:c6:be:10,d8:84:66:c6:be:18,ea:42:7c:27:d2:e6,ee:78:b0:dd:87:8f
static,0.1,1.0,0.9444444444444446,0.33776722090261296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3612167300380227,0.5641025641025639,0.0,0.23346261581555705,0.0,0.0,0.0,0.8465497076023398,0.0,0.0,0.3656250000000001,0.0,0.4681372549019607,0.21782407407407411,0.7352941176470584,0.5841269841269838,0.6448055028462996,0.6282679738562091,0.5833333333333333,0.0,0.0
static,0.1,4.3,0.93681917211329,0.38497508266964764,0.0,0.0,0.0,0.13725490196078433,0.0,0.0,0.0,0.0,0.0,0.0,0.4058376202191902,0.5500251382604322,0.0,0.2652699088685248,0.11555220378749788,0.0,0.0,0.8676115124412344,0.0,0.13207547169811332,0.452450980392157,0.09922756981580519,0.5139420061110098,0.27512388397624854,0.7355824682814298,0.6073174948991938,0.6352467826683696,0.6206587210047417,0.5701540646620825,0.0,0.0
static,1.0,0.0,0.933463993165486,0.4012597345812507,0.0,0.0,0.0,0.19764812302125734,0.0,0.0,0.0,0.0,0.0,0.0,0.458848171861054,0.5533080518155145,0.0,0.27892124351006414,0.16639606938114396,0.0,0.0,0.864367788634544,0.0684456505352028,0.2676753453999302,0.5490477805776314,0.14288846988982684,0.5586563616853344,0.3162233061612938,0.7357093447962627,0.631871546548163,0.6501367876194405,0.63693838759686,0.5765160253162661,0.0,0.0
static,1.0,5.5,0.9126956473957186,0.4116063798112644,0.08482539254363781,0.0,0.0,0.23217677670252104,0.0,0.0,0.0,0.0,0.0,0.0,0.5171699625089463,0.5710032490354168,0.0,0.2892118553084089,0.19546506414699416,0.0,0.0,0.853816264798374,0.1678984038494442,0.3452019451748431,0.5904910026862685,0.16785074333039413,0.5947235025850403,0.3530879760152126,0.7357818839846687,0.6596285243014698,0.6753278304598491,0.6619543774869336,0.5956246510324474,0.0,0.0
static,2.0,4.6,0.8908204909241765,0.39208598167910175,0.21485972692184718,0.0,0.0,0.1802881363476488,0.0,0.0,0.0,0.0,0.0,0.0,0.5626594010222554,0.6049898358588444,0.0,0.2792493400107547,0.15178103786532823,0.0,0.0,0.8193747950240187,0.28764426689066497,0.324276882596432,0.5735265766520593,0.13033817649375484,0.6089972350173362,0.35811603798870567,0.735672874236024,0.6821335882307612,0.7169663452072318,0.7034608889932232,0.6341471619071595,0.0,0.0
static,3.0,5.5,0.8626756722187344,0.3813007283409318,0.3071827396728683,0.0,0.0,0.14344774624588813,0.0,0.0,0.0,0.0,0.0,0.0,0.6027476549455411,0.6333115811068418,0.0,0.27309782814985134,0.12076583765145282,0.0,0.0,0.7850264325738784,0.3794739640437751,0.25801358264862495,0.5504135017007399,0.1037046477188889,0.6250969673025069,0.3638828260243167,0.7355954784584993,0.7077251060031586,0.7540974660074946,0.7425758373545877,0.6726001650108259,0.0,0.0
static,3.3,3.9,0.8345185137256728,0.37320069647585413,0.31220452950934835,0.0,0.0,0.1159009745160886,0.0,0.0,0.0,0.0,0.0,0.0,0.6459007077750334,0.6594126175255776,0.0,0.26357420463645487,0.09757475204986946,0.0,0.0,0.7551101748932197,0.4552504013879066,0.20846633321170208,0.5227292809510348,0.08378988200946672,0.64134262090406,0.3694893546570504,0.7167107940807055,0.73123350492401,0.7870307821696904,0.7760071073523119,0.7054456975791148,0.0,0.0
static,7.5,5.5,0.765047522178265,0.365272659473846,0.2547845452313143,0.0,0.0,0.09458471704544431,0.0,0.0,0.0,0.0,0.0,0.0,0.6925136657526993,0.6814536009127232,0.0,0.25609983275895953,0.07962901392287405,0.0,0.0,0.7334661206855598,0.5166124730303676,0.17012565444471794,0.5013066626071043,0.06837942747441217,0.6591896253928644,0.37759248952450714,0.6846673150577157,0.7516221324303989,0.8121574971657198,0.7996063197057454,0.7286920254094558,0.0,0.0
static,13.0,5.5,0.668165762554586,0.3580402796303407,0.20931139748207078,0.059492289466196155,0.0,0.07770353294880682,0.0,0.0,0.0,0.0,0.0,0.0,0.7342728911826205,0.6958578373756802,0.0,0.25097797402435135,0.06541707688425188,0.0,0.0,0.7170211576895992,0.5751228966492876,0.17568203329041485,0.5133437382593378,0.05617528139589068,0.6787671102789556,0.3895207304738673,0.643761584264983,0.7627173755257122,0.8214956643836251,0.8118796305780939,0.7379257486725151,0.0,0.0
static,16.3,5.5,0.5513782287025163,0.3535087455445112,0.17272622163348886,0.16561924493948899,0.0,0.12238462204242337,0.0,0.0,0.0,0.0,0.0,0.0,0.7660977997583668,0.7042381623307346,0.0,0.2511255438751708,0.05398293956492333,0.0,0.0,0.7061754764237954,0.6272142130542514,0.21532990022997228,0.5478808088958479,0.046356501468303245,0.69924636564571,0.406479755910082,0.6187337070975716,0.766136463707163,0.8141030817163013,0.8117262622785074,0.7326316338502795,0.0,0.0
